default table,default version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subjectkey,src_subject_id,interview_date,interview_age,gender,quest_instruct,tiret_1,tiret_2,tiret_3,tiret_4,tiret_5,tiret_6,tiret_7,tiret_8,tiret_9,tiret_10,tiret_11,tiret_12,tiret_13,tiret_14,tiret_15,tiret_16,tiret_17,tiret_18,tiret_19,tiret_20,tiret_21,tiret_22,tiret_23,tiret_24,tiret_25,tiret_26,tiret_27,tiret_28,tiret_29,tiret_30,tiret_31,tiret_32,tiret_33,tiret_34,tiret_35,tiret_36,tiret_37,tiret_38,tiret_39,tiret_40,tiret_41,tiret_42,tiret_43,tiret_44,tiret_45,tiret_46,comments_misc,tiret_negpar,tiret_pospar,tiret_twclo,tiret_twqf,tiret_frsubj,tiret_dpc,tiret_mopr,tiretfapr,tiret_domtw,tiret_twdifpr,respond
NONE,M53717791,,12/12/1991,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53796599,,12/12/1991,M,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53715010,,12/12/1991,M,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53725219,,8/31/1995,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53753893,,7/21/1993,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53735877,,1/1/1998,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53720351,,5/29/1994,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53771504,,8/24/1995,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53798096,,11/12/1991,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53702771,,1/1/2001,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53767074,,12/11/1991,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53773844,,8/30/1992,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53768311,,12/6/1992,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53798247,,3/23/1995,M,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53745009,,3/2/1995,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53750965,,6/21/1993,M,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53728474,,9/15/1993,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53742433,,5/24/1995,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53795245,,5/24/1995,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARBL450PR5,M53796010,,7/21/1993,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53791589,,5/29/1990,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53792462,,9/12/1990,M,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDAREJ567DLW,M53748803,,7/11/1995,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARFK391CXQ,M53783925,,2/23/1995,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARBE330APU,M53787489,5/6/2015 10:10,6/8/1965,F,Empty',3,3,3,3,4,2,3,3,4,4,1,1,2,3,5,5,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,2,3,2,4,5,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARYU168ZR5,M53752773,4/25/2015 7:53,6/15/1964,F,Empty',3,4,2,3,3,2,4,3,4,3,2,3,1,3,5,4,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,5,1,3,3,5,5,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARGG279YJE,M53787758,4/27/2015 3:08,10/2/1966,F,Empty',4,3,3,3,5,1,5,5,5,5,1,1,1,1,5,5,5,1,2,3,3,3,6,6,3,3,6,3,3,3,3,3,3,3,3,2,2,2,3,5,1,1,1,5,5,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53773526,7/15/2015 10:22,10/20/1964,F,Empty',3,3,9999,3,3,1,3,3,2,3,3,3,3,3,3,5,3,1,3,3,3,3,2,3,2,3,3,3,3,3,3,3,9999,9999,3,3,3,3,2,5,3,3,1,5,5,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53704741,3/25/2015 15:07,5/29/1974,F,Empty',3,3,9999,4,3,2,3,3,2,3,4,3,3,3,4,4,2,4,3,2,2,3,4,1,3,1,1,1,2,4,4,4,4,4,1,4,4,5,5,4,4,2,4,5,4,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53710441,,5/29/1986,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53741458,,5/29/1987,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53762618,3/23/2015 13:32,5/28/1995,F,Empty',5,1,1,1,5,1,5,4,4,3,5,3,5,5,2,4,2,2,2,2,2,3,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARAD449AH0,M53771795,4/11/2015 19:53,11/13/1969,F,Empty',2,3,3,3,4,2,4,3,4,4,4,4,3,3,5,4,3,2,2,3,3,3,3,2,3,3,4,3,3,3,3,3,4,3,3,1,1,2,4,5,2,3,2,5,4,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53755934,,12/12/1991,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARBF923CKB,M53796009,4/1/2015 19:15,9/13/1962,F,Empty',3,2,3,2,3,3,1,3,1,3,1,3,4,3,2,3,2,2,5,2,5,3,3,3,1,3,3,4,3,5,3,4,2,2,3,4,4,4,2,4,4,4,4,3,4,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARZU553PGP,M53725576,3/28/2015 15:13,2/15/1947,M,Empty',3,3,3,5,2,2,2,1,3,4,1,1,1,1,3,3,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,4,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53701268,,6/28/1972,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARXB857EGZ,M53797811,4/11/2015 14:20,1/26/1964,F,Empty',3,3,3,2,2,2,4,4,4,4,3,3,3,3,5,5,4,2,4,2,2,3,3,2,2,2,2,3,3,3,3,4,4,4,4,3,3,2,3,4,3,2,3,4,3,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NONE,M53760116,,1/1/1979,M,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARGW549ZYT,M53700471,,1/2/1969,F,Empty',9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARPH475GV0,M53749753,5/9/2015 13:47,6/9/1967,F,Empty',3,3,3,3,3,3,1,5,1,4,3,3,3,3,3,3,3,2,4,3,2,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,3,2,3,4,3,2,2,3,4,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARCE693XDT,M53747058,6/9/2015 22:52,9/3/1970,F,Empty',2,2,2,3,4,2,4,5,4,5,4,4,4,2,2,5,5,1,5,2,5,2,2,2,2,4,2,4,2,3,3,5,4,2,2,3,1,1,2,4,2,2,2,4,4,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARGB870EXG,M53761671,6/5/2015 13:56,7/1/1958,F,Empty',3,3,3,3,4,3,4,4,4,4,3,3,3,3,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,2,3,5,5,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARZN713DF7,M53706908,5/18/2015 18:59,10/19/1970,F,Empty',4,3,3,3,2,2,1,5,1,5,1,1,3,1,5,5,5,1,1,1,1,3,5,4,5,4,3,1,3,1,2,1,3,3,3,1,5,3,5,2,4,5,5,4,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARHZ557DCP,M53776900,6/8/2015 16:33,3/8/1975,F,Empty',1,3,2,3,2,4,9999,3,9999,5,9999,2,9999,2,9999,2,5,1,6,3,6,3,6,4,6,3,4,6,3,6,3,4,3,3,3,2,3,4,3,3,3,3,3,4,4,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDAREV714WJJ,M53779833,6/10/2015 16:44,3/15/1962,F,Empty',2,3,3,3,5,2,2,4,3,3,2,4,2,4,2,3,2,2,4,1,3,2,3,4,4,5,5,3,3,3,2,3,4,4,3,3,3,4,3,4,2,3,2,4,5,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARMM892YN7,M53776134,6/12/2015 14:26,11/25/1965,F,Empty',2,3,3,3,3,3,4,4,3,3,1,3,2,3,1,5,3,2,1,3,1,2,4,4,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,5,1,4,2,5,5,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
NDARAM400ZY6,M53796654,7/9/2015 14:07,11/9/1962,F,Empty',1,3,3,3,3,3,4,3,4,4,3,3,1,2,5,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,5,1,1,1,5,5,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1
